User Name,Original Tweet,Normalized Tweet,Negative,Neutral,Positive,Compound Score,Class Label
Dharmik2021,"@UN_News_Centre @RanaAyyub @UNHumanRights @ahmedshaheed Where Islam is in the minority
Muslims cry minority rights
Where Islam is in the majority
There are no minority rights

I am ""Muslim""
I Kill Yezidis in Iraq
I Kill Zoroastrians in Iran
I Kill Buddhis",news centre islam minority muslim minority right islam majority minority right muslim kill yezidis iraq kill zoroastrians iran kill buddhis,0.393,0.607,0,-0.9657,1
revmarks2,@AP It is not Shiites behind Christian extinction. Satanic USA with occupying forces with no end in sight! Shiites just reacting to USA occupation by killing ME Christians since they can't kill Yanks in Green Zone without U.S bombing like hell. Wrong plac,shiite christian extinction satanic usa occupy force sight shiite react usa occupation kill christian kill yank green zone bombing hell wrong plac,0.299,0.634,0.066,-0.916,1
AtefehKhanoom,"Imagin if the media use ÃÂ??US-backedÃÂ?ÃÂ like they use ÃÂ??Iran-backedÃÂ?ÃÂ
-ÃÂ??US-backed Saudi rulers bomb &amp; starve YemenÃÂ?ÃÂ
- ÃÂ??US-backed groups in Iraq kill Christians and YezedisÃÂ?ÃÂ
- ÃÂ??US-backed groups in Libya enslave black peopleÃÂ?ÃÂ
- ÃÂ??US-backed Israel refuse to vaccinate occupied PalestiniansÃÂ?ÃÂ https://t.co/REGNEb6ajB",imagin medium iran saudi ruler bomb starve yemen iraq kill christian yezedis libya enslave black people israel refuse vaccinate occupy palestinian,0.294,0.55,0.156,-0.9325,1
Lim1tedEditi0n,"@DbnJunior @LaniTib @MugabeBobby It's so Sad bro, Nigeria itself is divided into Christians and Muslims,   they always kill each other in the name of foreign Gods.",sad bro nigeria divide christian muslim kill foreign god,0.278,0.722,0,-0.8439,1
majindhruv,"Christians hundreds of years ago: We must kill all pagans 
Also Christians hundreds of years ago: let us steal Pagan holidays and beliefs, call it Christmas and say it was JesusÃÂ?? birthday",christian hundred ago kill pagan christian hundred ago steal pagan holiday beliefs christmas jesus birthday,0.2,0.734,0.066,-0.743,1
KerryNoble_CSA,"4. And I couldnÃÂ??t kill Christians, so I picked up the briefcase bomb and left. Later on I realized I didnÃÂ??t save their lives, they saved mine. I never forgot that lesson. My wife &amp; I years later joined an inclusive church for a few months ÃÂ?? 1 of only 2 heterosexual couples there.",couldn kill christian pick briefcase bomb leave realize didn save live save forgot lesson wife join inclusive church month heterosexual couple,0.152,0.732,0.116,-0.4404,1
lpssss5,"@practice_outlaw @IHearTheShofar Can you explain is it ok that Christian girls join Onlyfans,pornhub or to be a porn?Do Christians accept abortion?Inside,i am very sick of people kill babies or sex liberally.Are we living in Sodom nowadays?I am new to Chr",outlaw explain ok christian girl join onlyfans pornhub porn christian accept abortion inside sick people kill baby sex liberally living sodom nowadays chr,0.159,0.708,0.134,-0.5095,1
AJE68207283,@MikeWhi52471406 @GodDanC @LilahThomas3 @AiG Not only does this negate the concept of free will(because God kills before they can even make cognitive decisions of any real value) it allows someone to kill another if they are going to heaven. Any saved Chr,negate concept free god kill cognitive decision real value allow kill heaven save chr,0.152,0.591,0.257,0.5719,0
TrippyMonster98,@lyr1cal5 @DrWitnesser @Twitch @amazon Jesus could come back today and you Christians would be the one to kill him this time calling him a freeloading commie hippie,jesus christian kill time call freeload commie hippie,0.259,0.741,0,-0.7906,1
yourlargeness,"Tony Hendra is dead. He was a comedic polymath and author of -- among other things -- ""The Messiah of Morris Avenue"" which explained how modern day Christians would kill the messiah should he actually come back. It was published in 2007. It has become only more prescient.",tony hendra dead comedic polymath author messiah morris avenue explain modern day christian kill messiah actually publish 00 prescient,0.168,0.782,0.05,-0.8074,1
aochiefk,"For being a Christian nation, we sure donÃÂ??t show those values. All those Christians that helped invade congress and kill people, what a farce, just more hate, lies and deceit by republicans.",christian nation don value christian help invade congress kill people farce hate lie deceit republican,0.384,0.506,0.11,-0.9256,1
TOwens916,"@HuffPost Ridiculous treatment. Most people donÃÂ??t know that chivalry was based on an African Knight named Morris, put to death by a Roman Caesar for refusing to kill Christians. My icon is from a photo I took in the Ethiopian National Cathedral.",ridiculous treatment people don chivalry base african knight name morris death roman caesar refuse kill christian icon photo ethiopian national cathedral,0.289,0.711,0,-0.93,1
JuanErnesto1976,"@jennersue11 @DonaldJTrumpJr So free that you lefties judge all conservatives, and kill christians and jews, and you are upset of me telling the thruth, well too bad.  You lefties always when someone tells you the theuth you say is hate.ÃÂ?ÃÂ�",free lefty judge conservative kill christian jews upset tell thruth bad lefty tell theuth hate,0.278,0.613,0.109,-0.8692,1
NobodyNParticu3,"@worldnetdaily This is in the Book of Revelation, so Christians, prepare yourselves for the persecutions because they are coming.  Reject the LGBT group think, and the Communist desires they will kill you thinking they do God's work, only because they don",book revelation christian prepare persecution come reject lgbt communist desire kill think god don,0.159,0.796,0.045,-0.743,1
realsiferd,@SilvaRecord @LueElizondo @RandPaul My roommate thinks that UFOs are real but they are satanic demons from another dimension sent here to kill Christians.,roommate ufos real satanic demon dimension send kill christian,0.256,0.744,0,-0.8201,1
MomNationOfLaws,@coyne_sheryl @themousepolice1 Absolutely sad and disappointing.  His job is to Defend the Faith not to mix with those who don't  love our Lord. Ones who threaten to kill Christians This is not defending the faith as we were taught as young Catholics.  Th,sheryl absolutely sad disappointing job defend faith mix don love lord one threaten kill christian defend faith taught catholic th,0.282,0.598,0.12,-0.8587,1
nopidkwhy,"yes the US definitely told ISIS to kill Christians, Yazidis and not because the Quran and Hadiths told them to https://t.co/0jYNdzFOSE https://t.co/YaEA8AAfuQ",yes definitely told isi kill christians yazidis quran hadith tell,0.173,0.627,0.199,-0.0772,1
TeresaCulhane,"No, Jesus doesn't forgive aholes like her. Evangelical Christians  have no Fkn Idea what Jesus taught, What being covered by the blood of Jesus means &amp; who he actually died for. Missouri realtor charged in plan to kill ex-mother-in-law https://t.co/XCrSAlkG9D via @journalcourier",jesus forgive aholes evangelical christian fkn idea jesus teach cover blood jesus mean actually die missouri realtor charge plan kill ex mother law,0.268,0.647,0.085,-0.872,1
BlacKapital,@HalalBart @quranandbibleb1 @jtr_don1 @ImamNoonan @zhiyar20 @MKdawah @1ModerateMuslim @HadiAlabrash @MARazack26 @vafaildhoinne @provingislam @IslamForLife77 @Shamx42087112 @ZakirHussainMDI @cubbycat87 How can we trust Muslims? When you plot to Kill Christ,don trust muslim plot kill christ,0.261,0.556,0.183,-0.34,1
TheRealEleazar,"Christians has been brainwashed that God kills. But guess what, God does not kill. The God I know is not a wicked God. The God I know is not a killer. The God I know Loves and He is willing to welcome you into His family if you believe in the death, burial and resurrection of",christian brainwash god kill guess god kill god wicked god god killer god love willing welcome family believe death burial resurrection,0.099,0.509,0.392,0.9575,0
moses_osunpidan,"Yousef, whose mother threatened to kill him for owning a Bible, now smuggles Bibles the way his family once smuggled drugs. 'I am N' is a compelling book, which shares 50 true stories of Christians like Yousef. Buy 'I am N' today: https://t.co/0SLmfckwhB https://t.co/vcYidGyeey",yousef mother threaten kill own bible smuggles bible family smuggle drug compel book share true story christians yousef buy,0.256,0.557,0.187,-0.6705,1
BirthPangWatch,"I don't know who needs to hear this, but Israel wants to kill Christians. They are establishing a NWO, based on Talmudic Law , that will be enacted through an International Sanhedrin.  Gentiles that do no adhere to their demonic Noahide Laws will be decapitated.",don hear israel kill christians establish nwo base talmudic law enact international sanhedrin gentile adhere demonic noahide law decapitate,0.189,0.811,0,-0.8847,1
MirzaeiAh,"My research exposes #IRGC internal manuals used to radicalise recruits.

Recruits are told #Khamenei is equal to the Prophet, to kill Jews,Christians via #jihad &amp; torture Iranians opposing the regime.

This is the 1st time these docs have been translatedÃÂ???https://t.co/OvQDoRkGwX",research expose irgc internal manual radicalise recruit recruit tell khamenei equal prophet kill jew christian jihad torture iranian oppose regime st time doc translate,0.214,0.786,0,-0.8779,1
UnitedS25515204,Christians Kill people but who do we hear on TV? https://t.co/kLMIZL3DJY via @YouTube,christian kill people hear tv,0.222,0.778,0,-0.431,1
R2d236598603,"@dollfacenikk @MasterMelrose OK let's talk about Christians, 1,count how many people have been killed by Christians in the last 100years,er,i think maybe none, the Christian world is mainly secular, now let's talk how many people Muslims kill in one year ",ok talk christians count people kill christian 00years er maybe christian world mainly secular talk people muslims kill,0.191,0.748,0.061,-0.8056,1
SamsonOlakudu,"Mallam Shekau,

I write you in the language of the prophet (SAW). Please do not kill pastor Bulus Yikura. Remember the first Hijra of Muslims and how Abyssinian Christians saved them from the Quraysh. Show mercy to Pastor Yikura, the way Habesha Christians showed mercy to Muslims",mallam shekau write language prophet kill pastor bulus yikura remember hijra muslim abyssinian christian save quraysh mercy pastor yikura habesha christian mercy muslim,0,0.748,0.252,0.9159,0
ProudFenianTaig,@ClorleyAndrew @AndyBurnhamGM Half truths are always great for trolling eh? By the way. That Israel flag. Did you support Israel when they morally backed Argentina with arms and funds to fight and kill British troops during Falklands/Malvinas war and now ,half truth troll eh israel flag support israel morally argentina arm fund fight kill british troop falklands malvinas war,0.208,0.594,0.199,-0.3612,1
BeckRushBerry,It sickens me that Psaki won't even answer a simple question like should doctors and nurses be forced to abort unborn babies if it violates their conscience. https://t.co/N5XAAGbInb,sickens psaki win answer simple question doctor nurse force abort unborn baby violate conscience,0.255,0.575,0.17,-0.4767,1
beebawj,"@nothing4realk @ladyfey12 @desertskulls @CoxeAnne @feminist_85 @Ash_Bash23 So a person on life support is okay to kill? 
Christians don't force people to be born nor do they ignore children in horrible conditions. Statistically, Christians are twice as li",8 bash2 person life support okay kill christians don force people bear ignore child horrible condition statistically christian twice li,0.196,0.644,0.16,-0.5408,1
debbie77777777,Yes let's recall how the Hague/ICC/Netherlands felt it was ok to murder six million Jews; how it was ok to invade destroy rob businesses owned by European Christians; how it was ok to kill Black Africans in Africa cause they sided with the Axis of Evil &amp; now investigate who? #ICC,yes recall hague icc netherlands ok murder million jew ok invade destroy rob business own european christian ok kill black african africa cause side axis evil investigate icc,0.286,0.587,0.127,-0.9393,1
kill_sanctions,"Please donÃÂ??t talk to me about cancel culture. I was a Christian child of the 90s. We stopped listening to Sandy Patty &amp; Amy Grant, stopped watching Disney, &amp; avoided Proctor and Gamble products. Christians perfected cancel culture. They just donÃÂ??t like it when the tables turn.",don talk cancel culture christian child 0 stop listen sandy patty amy grant stop watch disney avoid proctor gamble product christian perfect cancel culture don table,0.185,0.616,0.199,0.4215,0
DragonetteTarot,"Or letÃÂ??s get straight to the point. You got a bunch of fake ass Christians, who ÃÂ??loveÃÂ?ÃÂ God, but wanna kill people that donÃÂ??t look like them. LetÃÂ??s not dance around that. DonÃÂ??t care if the doctrine is true or not. They just bastardized it. https://t.co/IpheCl799T",straight bunch fake as christian love god wanna kill people don look dance don care doctrine true bastardize,0.167,0.524,0.309,0.8031,0
IadGeorges,"@WalstarW @secularleb2 @Sk_AZZI @henrichaoul @IadGeorges Walstar, you're basically telling Lebanese Christians: I know most of you want Federalism but I advise you not to ask for it because Muslims will kill you.
I can't but bow in front of this logic, th",azzi walstar basically tell lebanese christian federalism advise muslim kill bow logic th,0.157,0.813,0.031,-0.8057,1
tokespeak,"@lumekaaveknew Lol I'm not pro-palestinian or pro-Isreal but what concern me is that this black christians are brainwashed bro...Lol if Isreal say ""kill every African person who practice Afrikan spirituality ""They will do it peacefully",lol pro palestinian pro isreal concern black christian brainwash bro lol isreal kill african person practice afrikan spirituality peacefully,0.134,0.656,0.209,0.3919,0
dmmgmfm,@GovAbbott Love all the pretend christians who attempt to kill off the marginalized.,love pretend christian attempt kill marginalize,0.316,0.466,0.218,-0.2263,1
vatanMGH,"See how the world works in this photo.  Christians, with the help of Muslims, kill people and steal their wealth.  Anyone who protests will be shot dead by soldiers.  Sometimes with bullets, sometimes with pens
#PopeFrancis
#PopeInIraq 
#PopeFrancisInIraq
#Trump 
#trump2024 https://t.co/EhYwNpGTMp",world photo christian help muslims kill people steal wealth protest shoot dead soldier bullet pen popefrancis popeiniraq popefrancisiniraq trump trump2024,0.261,0.63,0.109,-0.8481,1
MARKBARNHART1,@GarthRHahn @sherlockmichael Islamic scripture says to kill unbelievers. There are no violent scripture for Christians to follow. No comparison between Christianity and Islam. You are showing your ignorance.,islamic scripture kill unbeliever violent scripture christian follow comparison christianity islam ignorance,0.425,0.575,0,-0.9382,1
Joe90kerrByrd,#PopeFrancisinIra what on earth is he doing? Trying to kill off the few Christians left?,popefrancisinira earth do try kill christian leave,0.251,0.749,0,-0.6908,1
Lim1tedEditi0n,"@MugabeBobby @LaniTib Awume Bob ama Christian's wona ahlala ama victims njalo.
Search Google for why Christians kill Muslims and see what results comes up.
Christians are far away from home when in middle east.",awume bob ama christian wona ahlala ama victim njalo search google christian kill muslim result come christian home middle east,0.189,0.811,0,-0.7906,1
god_jhai,"@ItsOmari_ @bakaomubo This is not new, it has been happening for a long time. The Northern rulers want it to be an Islamic state &amp; endorse terrorism. The governor of Kaduna always arms bandit's to go to communities in southern Kaduna to kill them.(The",happen time northern ruler islamic endorse terrorism governor kaduna arm bandit community southern kaduna kill,0.186,0.741,0.072,-0.8271,1
Heerak4Congress,"""To live is Christ. To die is gain!"" St. Paul.

Open schools vector COVID-19 deaths!

True Christians who are ÃÂ??ÃÂ®% positive that open schools will kill millions of Americans in 2021 still trust Jesus &amp; have peace.

True Christians look forward to eternity in Heaven after death. https://t.co/kX7uP1cHxu",live christ die gain st paul school vector covid death true christian positive school kill million americans 02 trust jesus peace true christian look forward eternity heaven death,0.176,0.506,0.319,0.8481,0
Heerak4Congress,"For true Christians, true home ÃÂ?ÃÂ?ÃÂÃÂ·ÃÂ is in Heaven.

True Christians who die go to Heaven to live with Jesus Christ forever.

That is why true Christians quote St.Paul &amp; say, ""To live is Christ. To die is gain!"" @EWTN

COViD-19 will kill millions in USA in 2021, including Christians. https://t.co/4uwfsExd0I",true christian true home heaven true christian die heaven live jesus christ forever true christian quote st paul live christ die gain covid kill million usa 02 include christian,0.172,0.536,0.292,0.7717,0
KarunAnand19,@joyjeetchowdhur @JoielAkilan @upma23 If communist and muslims are with Christians then North Korea won't be the number one country to persecute Christians and Islamic countries won't be the top most to kill Christians for their faith. Get over paranoia t,communist muslim christian north korea win country persecute christian islamic country win kill christian faith paranoia,0.196,0.545,0.259,0.3008,0
olawale_faruk,"the religion of the Christians. The Jews for instance; the repentance from their sins is suicide. That is, when one repents from one or more sins, the person will kill himself/herself in place. If urine stains the body of the Jews when they urinate, they cut out the spot to be",religion christian jews instance repentance sin suicide repents sin person kill urine stain body jew urinate cut spot,0.269,0.731,0,-0.9538,1
sarumbear,It is extremely #irresponsible for The Pope to visit Iraq &amp; put Christians there in risk of #Covid. Does he want to kill the remaining #Christian community there? He does blessing in empty St Peter's Square. Save the Italians but kill the Iraqis? Is that it?,extremely irresponsible pope visit iraq christian risk covid kill remain christian community bless st peter square save italian kill iraqis,0.254,0.651,0.094,-0.8778,1
NanaMof5,"Republicans:
Anti-Americans, Racists, Misogynistic, Corrupt,Attacks our democracy, Pathological liars, Greedy, Embrace dictators, Lock children in cages and perform forced hysterectomies on women, Fake Christians and will kill people for profit as they have with Covid https://t.co/p9i6gjSO7M",republican anti american racist misogynistic corrupt attack democracy pathological liar greedy embrace dictator lock child cage perform force hysterectomy woman fake christian kill people profit covid,0.439,0.47,0.091,-0.9638,1
jamesmatheson12,"https://t.co/O0CqbTncM4
Toronto canada ran me down with a truck with my Christian group and stole my inheritance in the queens hotel  and refused me a lawyer and hes wants to keep that alive 
So Christians can kill their followers steal their money while queen helps",toronto canada run truck christian stole inheritance queen hotel refuse lawyer he alive christian kill follower steal money queen help,0.197,0.704,0.099,-0.7322,1
irekpitaktja,"@ayemojubar From their looks you'll know they ain't Nigeria fulanis. The same thing was done in 2000, truck load of them were brought in to kill Christians in kaduna.",look ll ain nigeria fulanis 00 truck load bring kill christian kaduna,0.144,0.856,0,-0.6908,1
mnammari,"""In a long history of occasional tensions and various upheavals, the presence of Iraqi Christians was never threatened, but now it is."" Reposting this ""They Kill Christians (Too)""
 #iraq #christians   https://t.co/0UbyA8Njs1 via @jadaliyya",history occasional tension various upheaval presence iraqi christian threaten reposting kill christian iraq christian,0.226,0.727,0.047,-0.8253,1
WaltDaniels8,"@McbushScoops In the Soviet Union, they killed off 10% of the Christians to inspire doubt in the others. 

So don't keep the faith, even when they kill men like me. Because that's when our victory is near. 

It just means their fearmongering and threats f",soviet union kill christian inspire doubt don faith kill victory near mean fearmongering threat,0.244,0.605,0.151,-0.7579,1
R0B24__,"How can you be a Christian and kill stuff

you cannot be a Roman Catholic and kill stuff

Be Muslim or some other religion",christian kill stuff roman catholic kill stuff muslim religion,0.32,0.68,0,-0.886,1
MGadsden1776,"Indeed.  Too bad The Pope thinks Orange Man Bad.  Too bad the heir to The Roman Empire thinks God will kill us with climate change because we put gas in our vehicles. 

Jesus itÃÂ??s an embarrassing to be a Catholic the last decade.... https://t.co/99Ft8W0C01",bad pope orange bad bad heir roman empire god kill climate change gas vehicle jesus embarrass catholic decade,0.318,0.644,0.038,-0.9493,1
StealthContact,@Storm__Born @CharukaLive @ZayeemZiyadh @Sesiri @sjbsrilanka @youthforsjb @nimalhperera @DrRuwanDias @irajonline @amilaik @YouthSLPP @thaphaung @CallPali Christianity did not kill millions all over the world. It was &amp; is the Roman Catholic Jesuit Empi,bear christianity kill million world roman catholic jesuit empi,0,0.82,0.18,0.5773,0
paulclark42GB,"@JohnPiper And the 35,000 terrified people who crowded into the Nyarubuye Roman Catholic Church on April 15, 1994, as machete-wielding mobs prepared to kill them?

That was a time and place where your God showed himself to be either indifferent to sufferi",00 terrified people crowd nyarubuye roman catholic church april 199 machete wield mob prepare kill time god indifferent sufferi,0.204,0.718,0.078,-0.8176,1
BushinskiSusan,"The Bishops that are warning their Roman Catholic flock to avoid J&amp;J vaccine b/c of fetal
Material are flagrantly risking lives across the globe - so we ÃÂ??saveÃÂ?ÃÂ fetal tissue but kill potentially
Millions ÃÂ??ÃÂÃÂ??ÃÂÃÂ??ÃÂÃÂ??ÃÂÃÂ??ÃÂgreat job Catholic Church you never fail to be on  wrong side",bishop warn roman catholic flock avoid vaccine fetal material flagrantly risk life globe save fetal tissue kill potentially million job catholic church fail wrong,0.251,0.562,0.187,-0.4563,1
Maginary1_,@January_80 @MelJonesladadee @fairygodmomma If there was no differences anti-choice including the Roman Catholic religion would make no distinction about penalties. If a woman hires someone to kill her child the penalty will be the same whether the child ,8 difference anti choice include roman catholic religion distinction penalty woman hire kill child penalty child,0.317,0.683,0,-0.9246,1
EricEscudero19,"#Republican Policies &amp; their performance over the yrs means people will NOT vote for them. So instead of better Policies &amp; working Harder they CHEAT &amp; LIE #Gerrymandering, #VoterSuppression etc. No wonder they are being taken over by the Far Right Crazies. 
#Christians #TEACHers https://t.co/dt3CgzSdpR",republican policy performance yr mean people vote instead policy harder cheat lie gerrymander votersuppression wonder crazy christians teacher,0.126,0.807,0.067,-0.4155,1
koyesinjiki,"President @masoud_barzani met HungaryÃÂ??s State Secretary @tristan_azbej for the Aid of Persecuted #Christians. Discussed enhancing bilateral ties &amp; cooperation.

ÃÂ??State Sec. Azbej highly valued #Kurdistan for sheltering a large number of refugees/IDPs and its peaceful coexistence. https://t.co/7bYqgj306k",president barzani meet hungary secretary azbej aid persecute christian discuss enhance bilateral tie cooperation sec azbej highly value kurdistan shelter refugee idps peaceful coexistence,0.056,0.756,0.188,0.659,0
Seated_inChrist,"Consider this:

We're living in a world where the detestable things to GOD have now become the norm

As #Christians, we must bring all things into the Light of GOD'S TRUTH

Living to:
The lust of the flesh reaps corruption

In Christ #Jesus: Eternal life
Gal 6:8
#SaturdayThoughts https://t.co/2MvsHKknUp",consider living world detestable god norm christian bring light god truth live lust flesh reaps corruption christ jesus eternal life gal saturdaythoughts,0,0.835,0.165,0.8271,0
PCadfael,The Crazy #Republican Ron Johnson  just wasting #Taxpayers money &amp; time - with what must be one of the most Childish stupid political games the #GOP has played in several yrs. No Policy discussion just stupid comments! #Wisconsin #MAGA #Christians #nurses https://t.co/5HDs8vrxy7,crazy republican ron johnson waste taxpayer money time childish stupid political game gop play yr policy discussion stupid comment wisconsin maga christian nurse,0.333,0.621,0.047,-0.9294,1
Sedona_333,"#GOP congresswoman (TRAITOR) says criticism of her militia ties is a plot against #Christians 

A truck belonging to Rep. #MaryMiller's husband was seen at the Capitol with a decal promoting an extremist militia on Jan. 6.

#MOG 

https://t.co/cSSrutOKrG",gop congresswoman traitor criticism militia tie plot christian truck belong rep marymiller husband see capitol decal promote extremist militia jan mog,0.08,0.852,0.069,-0.1027,1
SGergova,"#History! @Pontifex meeting with Sayyed #Sistani in #Najaf sends a strong message of understanding and #tolerance for all #Abrahamic faiths in a region of turmoil. #Jews #Christians and #Muslim can live in peace and secuirty in their shared home, the #MiddleEast @AlSistaniOffice https://t.co/ap2kE5Pyfm",history meeting sayyed sistani najaf send strong message understanding tolerance abrahamic faiths region turmoil jew christian muslim live peace secuirty share home middleeast,0.051,0.657,0.292,0.8934,0
14_absolute,Time is short.  Know the truth.  Watch... https://t.co/3NoXCuWCZy #Truth #Jesus #JesusChrist #Christians #Rapture #JonathanKleck https://t.co/FlfYRGnYYr,time short truth watch truth jesus jesuschrist christian rapture jonathankleck,0,0.617,0.383,0.6369,0
Yeahilike,"#ad Dear Friends, Check out my book on restoring your Christian Faith. Thanks for your #support CLICK LINK BELOW &gt;&gt;&gt; https://t.co/yKq3YMuCpF #kindle #kindleunlimited #kindlebook #KindleBooks #Christians #christianity #Jesus #JesusChrist #God #Prayer #PrayerWarriors #BibleStudy https://t.co/1IvOkSNQgi",ad dear friends check book restore christian faith thanks support click link kindle kindleunlimited kindlebook kindlebooks christian christianity jesus jesuschrist god prayer prayerwarriors biblestudy,0,0.566,0.434,0.9468,0
LEANDER3R1,"Amen Apostle Eric.
The covenant of Christ is the standard of faith that God has authorized for reciprocation with Him. https://t.co/DDggcdRSW5

#biblereading #biblestudy #biblequotes #blessings #blessed #bloodofjesus #bornagain #thecall #christiancoffeetime #christians #prophetic https://t.co/7nb5TQYSW3",amen apostle eric covenant christ standard faith god authorize reciprocation biblereading biblestudy biblequotes blessing bless bloodofjesus bornagain thecall christiancoffeetime christian prophetic,0,0.687,0.313,0.9062,0
Yeahilike,"#ad Dear Friends, Check out my book on restoring your Christian Faith. Thanks for your #support CLICK LINK BELOW &gt;&gt;&gt; https://t.co/CGEl9NrJHg #kindle #kindleunlimited #kindlebook #KindleBooks #Christians #christianity #Jesus #JesusChrist #God #Prayer #PrayerWarriors #BibleStudy https://t.co/R360mQoRrx",ad dear friends check book restore christian faith thanks support click link kindle kindleunlimited kindlebook kindlebooks christian christianity jesus jesuschrist god prayer prayerwarriors biblestudy,0,0.566,0.434,0.9468,0
GodbackedGuy,"Never tell people what only God should hear
#Christians #bible #godbacked #Christianpost",tell people god hear christian bible godbacked christianpost,0,0.84,0.16,0.2732,0
chutoislam,"#Francis tells faith leaders it is fitting that they come together in Ur, ""back to our origins, to the sources of GodÃÂ??s work, to the birth of our religions"" to pray together for peace as children of Abraham, the prophet common to #Muslims, #Christians and #Jews #PopeFrancisInIraq",francis tell faith leader fit ur origin source god birth religion pray peace child abraham prophet common muslim christian jew popefrancisiniraq,0,0.801,0.199,0.8658,0
1OthDimension,"""Surely every man walketh in a VAIN SHEW:"" -Psalm 39:6 
 ""So God created man in his own IMAGE, in the image of God created he him; male and female created he them."" -Gen 1:27  Know the #Truth - #JonathanKleck YT - #JesusChrist #Christians #Bible #Rapture #biblestudy https://t.co/8ebVGWdS6u",surely walketh vain shew psalm god create image image god create male female create gen truth jonathankleck yt jesuschrist christian bible rapture biblestudy,0.063,0.608,0.329,0.8976,0
strikeoilnow,"ÃÂ??ÃÂÃÂ??ÃÂÃÂ??ÃÂÃÂ??ÃÂ@awilliamscomedy KNOCKS IT OUT THE PARK with this absolutely horrendous piece of #globalist #propaganda
Informed #Christians will be especially disgusted.
WATCH,  IT'S UNBELIEVABLEÃÂ??ÃÂ±ÃÂ?ÃÂÃÂ©
https://t.co/pjKxO1mYnc",knock park absolutely horrendous piece globalist propaganda inform christian especially disgust watch unbelievable,0.323,0.594,0.084,-0.8049,1
PCadfael,"Corrupt old LIAR Trump still spreading ludicrous LIES. Sick Trumpy is incapable of talking without telling LIES - some clever but most are  just made to attack others ! A nasty old LIAR !  #Republicans #SaturdayMorning #ARMY #Florida  
#Christians used to think LYING was a sin! https://t.co/zeZwK9W24j",corrupt liar trump spread ludicrous lie sick trumpy incapable talk tell lie clever attack nasty liar republican saturdaymorning army florida christian lie sin,0.55,0.421,0.029,-0.989,1
mikolaswed,"The very name #Poland is derived from the largest #Slavic tribe, the Polanie. These eastern European tribes clung longest to the original Indo-European religions and beliefs, and were among the last to fall prey to the #murderous evangelism of the early #Christians.",poland derive large slavic tribe polanie eastern european tribe cling original indo european religion beliefs fall prey murderous evangelism christian,0.088,0.863,0.048,-0.4404,1
ElohXo,"General #Soleimani it is who organized &amp; led #Iraqi &amp; #Syrian #Christians #Chaldeans #Yazidi &amp; both Shi'ia &amp; Sunni #Muslims incl #Kurds to fight against &amp; defeat #ISIS with others like Iraq's #alMuhandis
I'm sure #Pope prayed in far-distant Rome but did he call #Obama to stop #IS https://t.co/UGKQskVZDP",soleimani organize lead iraqi syrian christian chaldean yazidi shi ia sunni muslims incl kurd fight defeat isi iraq almuhandis pope pray distant rome obama stop,0.135,0.796,0.069,-0.4939,1
Shabana05080987,@Manisha_Raina @Gigabyte2036 Yes true. In my opinion any religion which does not provide a peaceful existence to its people or to people of other faiths must be totally erased &amp; abandoned. @Swamy39 @SadhguruJV #Muslims #Christians #Hindus,raina yes true opinion religion provide peaceful existence people people faiths totally erase abandon muslim christian hindus,0.147,0.647,0.206,0.3386,0
NatashaDado,"#Pope Francis met with a top #Muslim cleric on his historic trip to Iraq. The two discussed religious unity between #Muslims and #Christians in the war torn country. #PopeInIraq 

https://t.co/bzRRI3xi91",pope francis meet muslim cleric historic trip iraq discuss religious unity muslim christian war torn country popeiniraq,0.18,0.765,0.055,-0.6249,1
adnzafar,"Now streaming on YouTube:
Ch2: The Muslims' Standpoint | Is The Bible God's Word? - Ahmed Deedat (Audiobook) 

Subscribe for more {https://t.co/NHx7Xbrt5H}

#BibleStudy #christianity #judaism #christians #jews #religions #AhmedDeedat #JesusChrist #BookTwitter #books #audiobooks https://t.co/qh8dTnEPxn",stream ch muslim standpoint bible god word ahmed deedat audiobook subscribe biblestudy christianity judaism christians jews religion ahmeddeedat jesuschrist booktwitter book audiobooks,0,0.932,0.068,0.2732,0
sorebrokendad,"#christians want no politics in their religion, but want policy &amp; politicians to be religious.

#christians want freedom of religious expression as long as it is only for &amp; about christians. 

#christians are pro-life as long as itÃÂ??s not born. Once born, care &amp; concern disappears",christian politics religion policy politician religious christian freedom religious expression christian christian pro life bear bear care concern disappears,0.084,0.662,0.253,0.8573,0
V4NA_news,"According to a recent report, the number of young people in #Poland who consider themselves #religious has dropped significantly. This trend may be reinforced by the increasing frequency of attacks on #Christians and #Christian symbols.

details: https://t.co/NVyon6JDvC https://t.co/yfUCJU0VHV",accord recent report people poland consider religious drop significantly trend reinforce increase frequency attack christians christian symbol detail,0.078,0.887,0.035,-0.3818,1
gospelebooks,"Good morning ÃÂ?? everyone. Saturday's #Christian #eBook deals are now live.

See them all here: https://t.co/KW75YisQHG

Please RT ÃÂ??ÃÂ or Like ÃÂ??? if we saved you money.

#kindle #kindledeals #ebookdeals #christians #christianbook #Christianfiction #theology #jesus #church #bible https://t.co/ywMKRYnTze",morning saturday christian ebook deal live save money kindle kindledeals ebookdeals christian christianbook christianfiction theology jesus church bible,0,0.734,0.266,0.8591,0
